prompt,depth,label,prompt_id,seq_len,answer_token_index,winding,shape,steps_settle
"The dinosaur is sleepy. The dinosaur is dull. The dinosaur is lazy. The dinosaur needs the squirrel. The wolf visits the rabbit. The wolf is strong. The wolf is heavy. The squirrel is nice. The squirrel is quiet. The squirrel is kind. The rabbit is lovely. The rabbit is small. The rabbit is furry. Nice animals are lovely. If something is dull then it likes the squirrel. If something likes the squirrel then it is slow. If something is sleepy and dull then it is lazy. If something is lovely and small then it is cute. If something is strong and heavy then it is awful. All lazy animals are rough. All lovely animals are small. All awful animals are fierce. All cute animals are beautiful.
Question: The squirrel is not small.
Answer:",2,0,d2_0,164,-1,-0.6176807880401611,settle,25
"Dave is strong. Dave is huge. Dave is high. Anne is short. Anne is small. Erin is smart. Erin is quiet. Erin is nice. Charlie is poor. Charlie is bad. Charlie is dull. Strong people are smart. If someone is short and small then they are little. If someone is poor and bad then they are sad. If someone is smart and quiet then they are kind. All little people are thin. All smart people are quiet. All kind people are wealthy. All sad people are rough.
Question: Erin is wealthy.
Answer:",2,1,d2_1,121,-1,0.641231119632721,settle,23
"The bear is slow. The bear is lazy. The bear is rough. The bear visits the rabbit. The crocodile attacks the squirrel. The crocodile is big. The crocodile is heavy. The rabbit is kind. The rabbit is quiet. The rabbit is nice. The squirrel is furry. The squirrel is beautiful. The squirrel is cute. Kind animals are furry. If something is lazy then it likes the rabbit. If something likes the rabbit then it is dull. If something is slow and lazy then it is rough. If something is furry and beautiful then it is lovely. If something is big and heavy then it is strong. All rough animals are sleepy. All furry animals are beautiful. All strong animals are fierce. All lovely animals are small.
Question: The bear is not sleepy.
Answer:",2,0,d2_2,170,-1,0.627538800239563,settle,20
"Bob is strong. Bob is huge. Bob is big. Alan is thin. Alan is small. Harry is wealthy. Harry is quiet. Harry is smart. Charlie is rough. Charlie is bad. Charlie is poor. Strong people are wealthy. If someone is thin and small then they are little. If someone is rough and bad then they are dull. If someone is wealthy and quiet then they are nice. All little people are short. All wealthy people are quiet. All nice people are kind. All dull people are sad.
Question: Harry is not kind.
Answer:",2,0,d2_3,118,-1,-0.5701017379760742,settle,18
"Dave is strong. Dave is high. Anne is thin. Anne is short. Alan is nice. Erin is sad. Erin is poor. If someone is not huge then they are sad. If someone is not dull then they are wealthy. If someone is nice then they are smart. If someone is smart and not bad then they are kind. If someone is sad and not huge then they are rough. If someone is thin and short then they are bad. If someone is bad and not smart then they are poor. All wealthy people are quiet. 
Question: Dave is not rough.
Answer:",2,0,d2_4,124,-1,-0.6246060729026794,settle,23
"The lion is rough. The lion is slow. The lion is dull. The lion attacks the squirrel. The wolf sees the rabbit. The wolf is awful. The wolf is strong. The squirrel is round. The squirrel is kind. The squirrel is nice. The rabbit is cute. The rabbit is lovely. The rabbit is furry. Round animals are cute. If something is slow then it chases the squirrel. If something chases the squirrel then it is sleepy. If something is rough and slow then it is dull. If something is cute and lovely then it is small. If something is awful and strong then it is big. All dull animals are lazy. All cute animals are lovely. All big animals are fierce. All small animals are beautiful.
Question: The wolf is not fierce.
Answer:",2,0,d2_5,165,-1,0.6611232757568359,settle,18
"Alan is huge. Alan is high. Alan is strong. Dave is little. Dave is short. Fiona is nice. Fiona is kind. Fiona is wealthy. Gary is dull. Gary is bad. Gary is sad. Huge people are nice. If someone is little and short then they are thin. If someone is dull and bad then they are rough. If someone is nice and kind then they are smart. All thin people are small. All nice people are kind. All smart people are quiet. All rough people are poor.
Question: Alan is not kind.
Answer:",2,0,d2_6,123,-1,-0.6366316676139832,settle,21
"Bob is big. Bob is high. Gary is thin. Gary is little. Harry is quiet. Fiona is sad. Fiona is bad. If someone is not strong then they are sad. If someone is not rough then they are kind. If someone is quiet then they are smart. If someone is smart and not dull then they are nice. If someone is sad and not strong then they are poor. If someone is thin and little then they are dull. If someone is dull and not smart then they are bad. All kind people are wealthy. 
Question: Harry is not nice.
Answer:",2,0,d2_7,124,-1,0.6958550214767456,settle,15
"The bear is dull. The bear is slow. The dinosaur is big. The dinosaur is heavy. The bear visits the squirrel. The dinosaur likes the cat. The squirrel is kind. The cat is kind. The cat is lovely. The cat is furry. If something is not kind then it chases the squirrel. If something chases the squirrel then it is sleepy. If something is not smart then it is big. If something is not fierce then it is cute. If something is lovely then it is furry. If something is furry and not awful then it is beautiful. If something is big and not smart then it is strong. If something is dull and slow then it is awful. If something is awful and not furry then it is heavy. All cute animals are small.
Question: The bear is heavy.
Answer:",2,1,d2_8,170,-1,0.634132981300354,settle,21
"The snake is sleepy. The snake is lazy. The crocodile is big. The crocodile is fierce. The snake needs the cat. The crocodile chases the rabbit. The cat is round. The rabbit is round. The rabbit is beautiful. The rabbit is furry. If something is not round then it visits the cat. If something visits the cat then it is slow. If something is not quiet then it is big. If something is not heavy then it is lovely. If something is beautiful then it is furry. If something is furry and not awful then it is cute. If something is big and not quiet then it is strong. If something is sleepy and lazy then it is awful. If something is awful and not furry then it is fierce. All lovely animals are small.
Question: The rabbit is small.
Answer:",2,1,d2_9,176,-1,-0.29437756538391113,settle,18
